cidade,codestacao,datahora,id_sensor,latitude,longitude,nome,offset,qualificacao,uf,valor
RECIFE,261160609A,2026-09-21 08:40:00,10,-8.120975,-34.913983,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-09-21 09:00:00,10,-8.037,-34.884,Imbiribeira,,0,PE,0.0
RECIFE,261160609A,2026-09-21 09:40:00,10,-8.120975,-34.913983,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-09-21 10:00:00,10,-8.037,-34.884,Imbiribeira,,0,PE,0.0
RECIFE,261160609A,2026-09-21 10:40:00,10,-8.120975,-34.913983,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-09-21 11:00:00,10,-8.037,-34.884,Imbiribeira,,0,PE,0.0
RECIFE,261160603A,2026-09-21 11:10:00,10,-8.018378,-34.947058,Dois Irmãos,,0,PE,0.0
RECIFE,261160609A,2026-09-21 13:40:00,10,-8.120975,-34.913983,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-09-21 14:00:00,10,-8.037,-34.884,Imbiribeira,,0,PE,0.0
RECIFE,261160603A,2026-09-21 14:10:00,10,-8.018378,-34.947058,Dois Irmãos,,0,PE,0.0
RECIFE,261160609A,2026-09-21 14:40:00,10,-8.120975,-34.913983,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-09-21 15:00:00,10,-8.037,-34.884,Imbiribeira,,0,PE,0.0
RECIFE,261160609A,2026-09-21 15:40:00,10,-8.120975,-34.913983,Torreão,,0,PE,0.0
RECIFE,261160618A,2026-09-21 16:00:00,10,-8.037,-34.884,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2026-09-21 17:00:00,10,-8.037,-34.884,Imbiribeira,,0000,PE,0.0
RECIFE,261160609A,2026-09-21 17:40:00,10,-8.120975,-34.913983,Torreão,,0000,PE,0.0
RECIFE,261160618A,2026-09-21 18:00:00,10,-8.037,-34.884,Imbiribeira,,0000,PE,0.0
RECIFE,261160609A,2026-09-21 18:40:00,10,-8.120975,-34.913983,Torreão,,0000,PE,0.0
RECIFE,261160618A,2026-09-21 19:00:00,10,-8.037,-34.884,Imbiribeira,,0000,PE,0.0
