data,hora_ref,nomeEstacao,VP,AM,Nivel_Risco_Valor,Classificacao_Risco
2026-09-12,23:00:00,Torreão,,1.0,,Baixo
2026-09-12,22:00:00,Torreão,0.0,1.0,0.0,Baixo
2026-09-12,21:00:00,Imbiribeira,0.0,1.0,0.0,Baixo
2026-09-12,21:00:00,Torreão,0.0,1.0,0.0,Baixo
2026-09-12,20:00:00,Imbiribeira,0.0,1.07,0.0,Baixo
2026-09-12,20:00:00,Torreão,0.0,1.07,0.0,Baixo
2026-09-12,19:00:00,Imbiribeira,0.0,1.44,0.0,Baixo
2026-09-12,19:00:00,Torreão,0.0,1.44,0.0,Baixo
2026-09-12,18:00:00,Imbiribeira,0.0,1.8,0.0,Baixo
2026-09-12,18:00:00,Torreão,0.0,1.8,0.0,Baixo
2026-09-12,17:00:00,Imbiribeira,0.0,2.17,0.0,Baixo
2026-09-12,17:00:00,Torreão,0.0,2.17,0.0,Baixo
2026-09-12,16:00:00,Imbiribeira,0.0,2.2,0.0,Baixo
2026-09-12,16:00:00,Torreão,0.0,2.2,0.0,Baixo
2026-09-12,15:00:00,Imbiribeira,0.0,1.82,0.0,Baixo
2026-09-12,15:00:00,Torreão,0.0,1.82,0.0,Baixo
2026-09-12,14:00:00,Imbiribeira,0.0,1.45,0.0,Baixo
2026-09-12,14:00:00,Torreão,0.0,1.45,0.0,Baixo
2026-09-12,13:00:00,Imbiribeira,0.0,1.08,0.0,Baixo
2026-09-12,13:00:00,Torreão,0.0,1.08,0.0,Baixo
2026-09-12,12:00:00,Dois Irmãos,0.0,1.0,0.0,Baixo
2026-09-12,12:00:00,Imbiribeira,0.0,1.0,0.0,Baixo
2026-09-12,12:00:00,Torreão,0.0,1.0,0.0,Baixo
2026-09-12,11:00:00,Dois Irmãos,0.0,1.0,0.0,Baixo
2026-09-12,11:00:00,Imbiribeira,0.0,1.0,0.0,Baixo
2026-09-12,11:00:00,Torreão,0.0,1.0,0.0,Baixo
2026-09-12,10:00:00,Dois Irmãos,,1.0,,Baixo
2026-09-12,10:00:00,Imbiribeira,0.0,1.0,0.0,Baixo
